molecule_id,SMILES,target
31551,CC(C)N(C(=O)Oc1cccc(C(C)(C)C)c1)C(C)C,-85.86
30681,CC(=O)NCc1c(I)c(NC(=O)CCCCCCCC(=O)Nc2c(I)c(CNC(C)=O)c(I)c(C(=O)O)c2I)c(I)c(C(=O)O)c1I,53.51
42198,CC(C)(C)NC(=O)C1CCC1C(=O)NC(C)(C)C,-74.83
38399,COc1ccc(CCN(C)CCCC2(c3ccc(OC)c(OC)c3)S(=O)(=O)CCCS2(=O)=O)cc1OC,-264.4
12732,CC(C)/N=C(/NOCc1ccccc1)NC(C)C,-54.22
44189,CCC1(CCOCc2ccccc2)C(=O)NC(=O)NC1=O,-72.06
30310,Cc1nc(N(C)CCC#N)nc(C(Cl)(Cl)Cl)n1,29.55
12300,O=C1NC2(CCCCC2)C(=O)N1CO,-80.42
43818,C=CCN1C(=O)NC(=O)C(CC=C)(CC=C)C1=O,-90.64
14928,O=c1n(-c2ccccc2)c(=O)n(-c2ccccc2)c(=O)n1-c1ccccc1,-229.38
15275,c1ccc(Nc2nc(Oc3ccccc3)nc(Oc3ccccc3)n2)cc1,-348.22
12709,CC1C(=O)NC(=O)N(C2CCCCC2)C1=O,-103.65
30297,CNc1nc(C)nc(C(Cl)(Cl)Cl)n1,-7.06
43113,CC1(c2ccc(Cl)cc2Cl)NC(=O)NC1=O,-7.97
24395,CNC(=O)Oc1cccc(NC(=O)OC)c1,-8.85
40448,NC(N)=NCC(O)COCOc1ccccc1,-99.63
98159,[NH3+][C@H]1[CH-]OC[C]1C(=O)[O-],-19.0
32491,Clc1nc(Cl)nc(Nc2ccccc2Br)n1,-43.0
33711,CCOP(=O)(CC(=O)[O-])OCC.[K+],63.41
32206,Cc1nc(Nc2ccccc2)nc(C(Cl)(Cl)Cl)n1,-29.33
48797,CCN(CC)C(C)CC(=O)Nc1c(C)cccc1C,-30.18
14716,COc1nc(C)nc(N)n1,-106.72
406,O=C(O)C=CC(=O)CC(=O)O,-2.6
32147,CCCCCCNc1nc(Cl)nc(NCCCCCC)n1,-127.96
8245,Nc1cc(S(=O)(=O)O)c2cccc(S(=O)(=O)O)c2c1,-8.09
12714,NC(N)=NOCCCc1ccccc1.O=[N+]([O-])O,-14.34
47190,C=CC(C)C1(CC(C)C)C(=O)NC(=O)NC1=O,-146.48
12722,O=P(O)(Oc1ccccc1)Oc1ccccc1,-44.23
13560,CCOC(=O)N1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-147.03
20507,Nc1nc(Nc2ccccc2)nc(Nc2ccccc2)n1,-228.66
59550,N=C(O)NC=NC/C=C/O,-83.32
140436,O=CCOC(=O)CC(=O)O,-37.0
29056,CCC=C(C)C1(CC)C(=O)NC(=O)NC1=O,-175.62
30854,CNc1nc(NC)nc(C(C)C)n1,-41.55
3359,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,-104.56
34297,O=C(O)c1cccc2c1NC(=O)C2(c1ccccc1)c1ccccc1,-36.55
30267,CCCc1nc(NCC)nc(C(Cl)(Cl)Cl)n1,-25.57
27269,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)N(C(C)=O)c3ccccc32)cc1,-108.4
5696,CCN(CC)CCN(CCC(C)C)C(=O)N(C(C)C)C(C)C,-75.14
2912,Oc1ccc(C2Oc3cc(O)cc4c3C2c2cc(O)cc(O)c2C(c2ccc(O)cc2)C4(O)C2(O)c3cc(O)cc4c3C(c3cc(O)cc(O)c3C2c2ccc(O)cc2)C(c2ccc(O)cc2)O4)cc1,-34.42
44150,C=CCC1(C(CC)CC)C(=O)NC(=O)NC1=O,-145.58
32125,CC(C)c1nc(N)nc(C(Cl)(Cl)Cl)n1,2.26
44324,CCC(CC)CSCC1(CC)C(=O)NC(=O)NC1=O,-142.55
44326,CCSC(C)C1(CC)C(=O)NC(=O)NC1=O,-190.49
26425,NC(N)=NCC(O)c1ccc2c(c1)OCO2,-95.48
32480,CNc1nc(Sc2cc(Cl)c(Cl)cc2Cl)nc(C(Cl)(Cl)Cl)n1,12.48
14015,Nc1nc(Oc2ccccc2)nc(Oc2ccccc2)n1,-458.97
1301,C=CC1(C)CC(=O)C2C3(C)CCCC(C)(C)C3C(O)C(OC(C)=O)C2(C)O1,-61.58
49499,CCNC(=O)N1C(c2ccccc2)C2C(=O)C(C)(C(c3ccccc3)NC2c2ccccc2)C1c1ccccc1,-43.28
37161,CCCCS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3cc(NC(C)=O)ccc23)cc1,-71.19
44034,CC(C)CC1(C2C=CCC2)C(=O)NC(=O)N(C)C1=O,-90.06
13039,CCc1nc(N)nc(N)n1,-176.74
5090,Cc1cn(C2CCC(CO)O2)c(=O)[nH]c1=O,10.33
